,P=0.06 MPa (-36.9 C),,,,,,P=0.10 MPa (-26.4 C),,,,,P=0.14 MPa (-18.8 C),,
  Temp, volume, energy,enthalpy, entropy,, volume, energy,enthalpy, entropy,, volume, energy,enthalpy, entropy
  Deg C,v (m^3/kg),u (kJ/kg),h (kJ/kg),s (kJ/kg.K),,v (m^3/kg),u (kJ/kg),h (kJ/kg),s (kJ/kg.K),,v (m^3/kg),u (kJ/kg),h (kJ/kg),s (kJ/kg.K)
     Sat.,0.3112,209.1,227.8,0.964,,0.1926,215.2,234.5,0.952,,,,,
-20,0.3361,220.6,240.8,1.018,,0.1984,219.7,239.5,0.972,,0.1402,219.6,239.2,0.945
-10,0.3505,227.6,248.6,1.048,,0.2074,226.8,247.5,1.003,,0.1461,225.9,246.4,0.972
0,0.3648,234.7,256.5,1.077,,0.2163,234.0,255.6,1.033,,0.1526,233.2,254.6,1.003
10,0.3789,241.9,264.7,1.107,,0.2251,241.3,263.8,1.063,,0.1591,240.7,262.9,1.033
20,0.3930,249.4,272.9,1.135,,0.2337,248.8,272.2,1.092,,0.1654,248.2,271.4,1.062
30,0.4071,257.0,281.4,1.164,,0.2423,256.5,280.7,1.120,,0.1717,255.9,280.0,1.091
40,0.4210,264.7,290.0,1.192,,0.2509,264.3,289.3,1.149,,0.1780,263.8,288.7,1.120
50,0.4350,272.6,298.7,1.219,,0.2594,272.2,298.2,1.176,,0.1841,271.8,297.6,1.147
60,0.4488,280.7,307.7,1.246,,0.2678,280.4,307.1,1.204,,0.1903,280.0,306.6,1.175
70,0.4627,289.0,316.8,1.273,,0.2763,288.6,316.3,1.231,,0.1964,288.3,315.8,1.202
80,0.4765,297.4,326.0,1.300,,0.2847,297.1,325.6,1.257,,0.2024,296.8,325.1,1.229
90,0.4903,306.0,335.4,1.326,,0.2930,305.7,335.0,1.284,,0.2085,305.4,334.6,1.255
100,0.5041,314.8,345.0,1.352,,0.3014,314.5,344.6,1.310,,0.2145,314.2,344.2,1.282
,,,,,,,,,,,,,,
,P=0.18 MPa (-12.7 C),,,,,,P=0.20 MPa (-10.1 C),,,,,P=0.24 MPa (-5.4 C),,
  Temp, volume, energy,enthalpy, entropy,, volume, energy,enthalpy, entropy,, volume, energy,enthalpy, entropy
  Deg C,v (m^3/kg),u (kJ/kg),h (kJ/kg),s (kJ/kg.K),,v (m^3/kg),u (kJ/kg),h (kJ/kg),s (kJ/kg.K),,v (m^3/kg),u (kJ/kg),h (kJ/kg),s (kJ/kg.K)
     Sat.,0.1104,223.0,242.9,0.940,,0.0999,224.5,244.5,0.938,,0.0839,227.2,247.3,0.935
-10,0.1119,225.0,245.2,0.948,,,,,,,,,,
0,0.1172,232.5,253.6,0.980,,0.1048,232.1,253.1,0.970,,0.0862,231.3,252.0,0.952
10,0.1224,240.0,262.0,1.010,,0.1096,239.7,261.6,1.001,,0.0903,239.0,260.7,0.983
20,0.1275,247.6,270.6,1.040,,0.1142,247.4,270.2,1.030,,0.0942,246.8,269.4,1.013
30,0.1325,255.4,279.3,1.069,,0.1187,255.2,278.9,1.060,,0.0981,254.6,278.2,1.043
40,0.1374,263.3,288.1,1.098,,0.1232,263.1,287.7,1.088,,0.1019,262.6,287.1,1.072
50,0.1423,271.4,297.0,1.126,,0.1277,271.2,296.7,1.116,,0.1057,270.7,296.1,1.100
60,0.1472,279.6,306.1,1.153,,0.1321,279.4,305.8,1.144,,0.1094,279.0,305.2,1.128
70,0.1520,287.9,315.3,1.181,,0.1364,287.7,315.0,1.171,,0.1131,287.4,314.5,1.156
80,0.1567,296.4,324.6,1.207,,0.1407,296.3,324.4,1.198,,0.1168,295.9,323.9,1.183
90,0.1615,305.1,334.1,1.234,,0.1451,304.9,333.9,1.225,,0.1204,304.6,333.5,1.209
100,0.1662,313.9,343.8,1.260,,0.1493,313.7,343.6,1.251,,0.1240,313.5,343.2,1.236
,,,,,,,,,,,,,,
,P=0.28 MPa (-1.2 C),,,,,,P=0.32 MPa (2.5 C),,,,,P=0.40 MPa (8.9 C),,
  Temp, volume, energy,enthalpy, entropy,, volume, energy,enthalpy, entropy,, volume, energy,enthalpy, entropy
  Deg C,v (m^3/kg),u (kJ/kg),h (kJ/kg),s (kJ/kg.K),,v (m^3/kg),u (kJ/kg),h (kJ/kg),s (kJ/kg.K),,v (m^3/kg),u (kJ/kg),h (kJ/kg),s (kJ/kg.K)
     Sat.,0.0724,229.5,249.7,0.932,,0.0636,231.5,251.9,0.930,,0.0512,235.1,255.6,0.927
10,0.0765,238.3,259.7,0.968,,0.0661,237.5,258.7,0.954,,0.0515,236.0,256.6,0.931
20,0.0800,246.1,268.5,0.999,,0.0693,245.5,267.7,0.986,,0.0542,244.2,265.9,0.963
30,0.0834,254.1,277.4,1.029,,0.0723,253.5,276.7,1.016,,0.0568,252.4,275.1,0.994
40,0.0867,262.1,286.4,1.058,,0.0753,261.6,285.7,1.045,,0.0593,260.6,284.3,1.024
50,0.0900,270.3,295.5,1.086,,0.0782,269.8,294.9,1.074,,0.0617,268.9,293.6,1.053
60,0.0932,278.6,304.7,1.114,,0.0811,278.2,304.1,1.102,,0.0641,277.3,303.0,1.081
70,0.0964,287.0,314.0,1.142,,0.0839,286.6,313.5,1.130,,0.0664,285.9,312.4,1.109
80,0.0996,295.6,323.5,1.169,,0.0868,295.2,323.0,1.157,,0.0687,294.5,322.0,1.137
90,0.1028,304.3,333.1,1.196,,0.0895,304.0,332.6,1.184,,0.0710,303.3,331.7,1.164
100,0.1059,313.2,342.8,1.222,,0.0923,312.9,342.4,1.211,,0.0733,312.3,341.6,1.191
110,0.1090,322.2,352.7,1.248,,0.0950,321.9,352.3,1.237,,0.0755,321.3,351.5,1.217
120,0.1121,331.3,362.7,1.274,,0.0977,331.1,362.4,1.263,,0.0777,330.6,361.6,1.243
,,,,,,,,,,,,,,
,P=0.50 MPa (15.7 C),,,,,,P=0.60 MPa (21.6 C),,,,,P=0.70 MPa (26.7 C),,
  Temp, volume, energy,enthalpy, entropy,, volume, energy,enthalpy, entropy,, volume, energy,enthalpy, entropy
  Deg C,v (m^3/kg),u (kJ/kg),h (kJ/kg),s (kJ/kg.K),,v (m^3/kg),u (kJ/kg),h (kJ/kg),s (kJ/kg.K),,v (m^3/kg),u (kJ/kg),h (kJ/kg),s (kJ/kg.K)
     Sat.,0.0411,238.8,259.3,0.924,,0.0343,241.9,262.4,0.922,,0.0294,244.5,265.1,0.920
20,0.0421,242.4,263.5,0.938,,,,,,,,,,
30,0.0443,250.8,273.0,0.970,,0.0360,249.2,270.8,0.950,,0.0300,247.5,268.5,0.931
40,0.0465,259.3,282.5,1.001,,0.0379,257.9,280.6,0.982,,0.0317,256.4,278.6,0.964
50,0.0485,267.7,292.0,1.031,,0.0397,266.5,290.3,1.012,,0.0333,265.2,288.5,0.995
60,0.0505,276.3,301.5,1.060,,0.0414,275.2,300.0,1.042,,0.0349,274.0,298.4,1.026
70,0.0524,284.9,311.1,1.088,,0.0431,283.9,309.7,1.071,,0.0364,282.9,308.3,1.055
80,0.0543,293.6,320.8,1.116,,0.0447,292.7,319.6,1.099,,0.0378,291.8,318.3,1.084
90,0.0562,302.5,330.6,1.144,,0.0463,301.7,329.5,1.126,,0.0393,300.8,328.3,1.111
100,0.0581,311.5,340.5,1.171,,0.0479,310.7,339.5,1.154,,0.0406,310.0,338.4,1.139
